metadata_date,source_file,station,freeway,direction,district,county,city,state_postmile,absolute_postmile,latitude,longitude,length,type,lanes,name,user_id_1,user_id_2,user_id_3,user_id_4
2020-10-02,d11_text_meta_2020_10_02.txt,1100313,5,N,11,73,66000,22.324,22.215,32.79154,-117.20716,,FR,1,CLAIREMONT DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100323,5,N,11,73,66000,34.142,34.033,32.950106,-117.243571,,FR,2,DEL MAR HTS RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100326,5,N,11,73,66000,36.232,36.123,32.979357,-117.252719,,FR,2,VIA DE LA VALLE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100330,5,N,11,73,66000,37.37,37.261,32.995494,-117.25635,,FR,2,LOMAS SANTA FE,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100333,5,N,11,73,22678,R38.54,38.431,33.010364,-117.26453,,FR,1,MANCHESTER AVE,133,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100340,5,N,11,73,11194,47.165,47.056,33.12394,-117.32296,,FR,2,PALOMAR AIRPORT RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100348,5,S,11,73,66000,18.931,18.822,32.746784,-117.191904,,FR,1,OLD TOWN/HANCOCK,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100353,5,S,11,73,66000,22.082,21.973,32.788012,-117.207155,,FR,2,CLAIREMONT DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100363,5,S,11,73,66000,26.73,26.621,32.848532,-117.235725,,FR,2,GILMAN DR to 5SB,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100369,5,S,11,73,66000,28.464,28.355,32.87259,-117.229295,,FR,2,LA JOLLA VILLAGE DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100372,5,S,11,73,66000,32.805,32.663,32.930855,-117.241058,,FR,1,CARMEL VALLEY RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100377,5,S,11,73,66000,34.311,34.169,32.952468,-117.244298,,FR,2,DEL MAR HEIGHTS RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100381,5,S,11,73,66000,36.278,36.136,32.979936,-117.253246,,FR,2,VIA DE LA VALLE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100384,5,S,11,73,66000,37.397,37.255,32.995868,-117.256708,,FR,2,LOMAS SANTA FE DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100387,5,S,11,73,22678,38.582,38.44,33.010653,-117.26524,,FR,1,MANCHESTER AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100390,5,S,11,73,22678,39.827,39.685,33.02625,-117.274915,,FR,1,BIRMINGHAM DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100393,5,S,11,73,22678,40.625,40.483,33.036347,-117.281649,,FR,1,SANTA FE DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100396,5,S,11,73,22678,41.527,41.385,33.048438,-117.287351,,FR,2,ENCINITAS BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100407,5,S,11,73,11194,47.097,46.955,33.122973,-117.322702,,FR,2,PALOMAR AIRPORT RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100416,8,E,11,73,66000,4.038,5.995,32.770348,-117.137456,,FR,1,NB TEXAS ST,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100424,8,E,11,73,40004,10.2,12.157,32.773434,-117.036153,,FR,2,COLLEGE AVE,18012,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100434,8,W,11,73,66000,8.941,10.898,32.777651,-117.056226,,FR,1,WARING RD,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100438,8,W,11,73,40004,10.154,12.111,32.773478,-117.036798,,FR,1,COLLEGE AVE,18009,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100442,8,W,11,73,40004,11.351,13.308,32.772389,-117.017569,,FR,1,70TH/LAKE MURRAY,18106,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100451,8,W,11,73,40004,11.624,13.581,32.774158,-117.013463,,FR,1,JACKSON DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100454,8,W,11,73,40004,12.133,14.09,32.777056,-117.005354,,FR,2,LA MESA/GROSSMOUNT,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100461,8,W,11,73,40004,12.405,14.362,32.778899,-117.001223,,FR,1,SEVERIN DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100475,8,W,11,73,21712,15.816,17.773,32.803149,-116.962095,,FR,2,SB SR-67 CONNECTOR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100478,8,W,11,73,21712,16.453,18.41,32.803161,-116.951206,,FR,2,MOLLISON AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100486,8,W,11,73,,19.926,21.883,32.82544,-116.905031,,FR,2,CAM CANADA/LS COCHES,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100491,8,W,11,73,,21.881,23.838,32.844834,-116.880811,,FR,2,LAKE JENNINGS PK RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100498,15,N,11,73,66000,13.267,13.524,32.87967,-117.107922,,FR,1,MIRAMAR WAY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100504,15,N,11,73,66000,15.942,16.199,32.917072,-117.115831,,FR,2,MIRA MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100524,15,N,11,73,66000,25.992,26.249,33.055354,-117.071497,,FR,2,POMERADO/HIGHLAND,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100530,15,N,11,73,66000,6.96,7.141,32.790215,-117.112989,,FR,2,WB FRIARS RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100533,15,N,11,73,66000,9.175,9.356,32.82201,-117.116084,,FR,2,BALBOA AVE/SR-274,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100534,15,N,11,73,66000,9.175,9.356,32.82201,-117.116084,,FR,1,TIERRASANTA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100538,15,N,11,73,66000,9.963,10.144,32.833224,-117.118598,,FR,2,CLAIREMONT MESA BLVD,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100542,15,S,11,73,66000,M14.876,15.123,32.901576,-117.116607,,FR,2,CARROLL CANYON RD,11905,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100549,15,S,11,73,66000,14.356,14.603,32.894088,-117.115721,,FR,2,MIRAMAR/POMERADO,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100553,15,S,11,73,66000,15.964,16.211,32.917445,-117.116153,,FR,2,MIRA MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100560,15,S,11,73,66000,18.245,18.492,32.949064,-117.105522,,FR,2,POWAY/PENASQUITOS,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100568,15,S,11,73,66000,21.826,22.073,32.996577,-117.083687,,FR,2,CAMINO DEL NORTE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100571,15,S,11,73,66000,22.861,23.108,33.010949,-117.08016,,FR,2,BERNARDO CENTER DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100575,15,S,11,73,66000,23.819,24.066,33.024783,-117.079,,FR,2,RANCHO BERNARDO RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100578,15,S,11,73,66000,25.838,26.085,33.053304,-117.072601,,FR,2,HIGHLAND VALLEY RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100586,15,S,11,73,,6.966,7.137,32.790292,-117.113213,,FR,2,FRIARS RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100592,15,S,11,73,66000,9.196,9.367,32.822271,-117.116575,,FR,2,SR-274/BALBOA AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100595,15,S,11,73,66000,9.951,10.122,32.832989,-117.118962,,FR,2,CLAIREMONT MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100598,15,S,11,73,,28.621,28.868,33.090473,-117.080791,,FR,2,CITRACADO PKWY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100601,15,S,11,73,,29.97,30.217,33.106484,-117.093924,,FR,2,AUTO PARK WAY/9TH,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100604,15,S,11,73,22804,30.708,30.955,33.116146,-117.099574,,FR,2,VALLEY PKWY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100607,15,S,11,73,,32.727,32.974,33.144465,-117.104762,,FR,2,EL NORTE PKWY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100681,78,W,11,73,68196,15.37,15.366,33.132967,-117.123177,,FR,2,NORDAHL RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100697,94,E,11,73,66000,5.16,3.744,32.71801,-117.08462,,FR,1,EUCLID AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100703,94,E,11,73,41124,8.36,6.944,32.744705,-117.041718,,FR,2,MASSACHUSETTS AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100706,94,E,11,73,41124,9.01,7.594,32.74629,-117.030852,,FR,2,LEMON GROVE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100711,94,W,11,73,66000,2.235,.819,32.713318,-117.134145,,FR,1,28TH ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100714,94,W,11,73,66000,2.621,1.205,32.714211,-117.127908,,FR,1,32ND ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100729,94,W,11,73,66000,5.156,3.74,32.717955,-117.087127,,FR,1,EUCLID AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100732,94,W,11,73,66000,5.614,4.198,32.720663,-117.080357,,FR,1,KELTON RD & 56TH ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100737,94,W,11,73,66000,7.24,5.824,32.734694,-117.057992,,FR,1,COLLEGE GROVE WAY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100741,94,W,11,73,41124,7.76,6.344,32.740913,-117.052169,,FR,2,COLLEGE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100745,94,W,11,73,41124,8.142,6.726,32.74454,-117.047105,,FR,1,MASSACHUSETTS AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100750,94,W,11,73,41124,8.87,7.454,32.745268,-117.035279,,FR,1,LEMON GROVE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100757,125,N,11,73,,13.614,15.373,32.754424,-117.01021,,FR,2,CAMPO RD/BROADWAY,1,,,
