"method","chain","exact_partitions","retained_partitions"
"graphMoDE-C",1,300,300
"graphMoDE-C",2,237,300
"graphMoDE-C",3,67,300
"graphMoDE-C",4,300,300
"EucMoDE",1,300,300
"EucMoDE",2,300,300
"EucMoDE",3,300,300
"EucMoDE",4,300,300
"MoDE",1,0,300
"MoDE",2,91,300
"MoDE",3,300,300
"MoDE",4,108,300
"PottsMoDE",1,0,300
"PottsMoDE",2,300,300
"PottsMoDE",3,300,300
"PottsMoDE",4,300,300
"graphMoDE-W-reference",1,101,300
"graphMoDE-W-reference",2,300,300
"graphMoDE-W-reference",3,216,300
"graphMoDE-W-reference",4,300,300
"graphMoDE-W-joint",1,300,300
"graphMoDE-W-joint",2,300,300
"graphMoDE-W-joint",3,300,300
"graphMoDE-W-joint",4,300,300
