"method","chain_a","chain_b","rms"
"graphMoDE-C",1,2,0.0864716673256421
"graphMoDE-C",1,3,0.0907621708420056
"graphMoDE-C",1,4,0
"graphMoDE-C",2,3,0.125359965323982
"graphMoDE-C",2,4,0.0864716673256421
"graphMoDE-C",3,4,0.0907621708420056
"EucMoDE",1,2,0
"EucMoDE",1,3,0
"EucMoDE",1,4,0
"EucMoDE",2,3,0
"EucMoDE",2,4,0
"EucMoDE",3,4,0
"MoDE",1,2,0.339550200770041
"MoDE",1,3,0.173925856475276
"MoDE",1,4,0.135257143802074
"MoDE",2,3,0.29162357021235
"MoDE",2,4,0.301044223881094
"MoDE",3,4,0.074721603494388
"PottsMoDE",1,2,0.305144142428462
"PottsMoDE",1,3,0.305144142428462
"PottsMoDE",1,4,0.305144142428462
"PottsMoDE",2,3,0
"PottsMoDE",2,4,0
"PottsMoDE",3,4,0
"graphMoDE-W-reference",1,2,0.276426001956578
"graphMoDE-W-reference",1,3,0.278349680323639
"graphMoDE-W-reference",1,4,0.276426001956578
"graphMoDE-W-reference",2,3,0.0326681799091045
"graphMoDE-W-reference",2,4,0
"graphMoDE-W-reference",3,4,0.0326681799091045
"graphMoDE-W-joint",1,2,0
"graphMoDE-W-joint",1,3,0
"graphMoDE-W-joint",1,4,0
"graphMoDE-W-joint",2,3,0
"graphMoDE-W-joint",2,4,0
"graphMoDE-W-joint",3,4,0
