"method","scalar","status","rank_rhat","folded_rhat","bulk_ess","tail_ess"
"graphMoDE-C","log_likelihood","failed",1.27176047528741,1.25813540564378,11.6466360110976,11.6091372307368
"graphMoDE-C","Kocc","failed",1.80624457937442,1.80624457937442,6.12685041974598,NA
"graphMoDE-C","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_6","failed",1.82196582793213,1.82196582793213,6.08034798080704,NA
"graphMoDE-C","proportion_7","failed",2.37796719657073,2.37796719657073,5.09004633949156,NA
"graphMoDE-C","proportion_8","failed",1.30849152374421,1.30849152374421,11.057694933997,NA
"graphMoDE-C","proportion_9","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-C","proportion_10","failed",1.30811390486674,1.30811390486674,11.0535607444326,11.0599300910149
"graphMoDE-C","guidance_1","passed",1.00167212895413,1.00417777205582,415.639814405782,937.483718408951
"graphMoDE-C","guidance_2","passed",1.00666820690239,1.00482759344538,421.171811450575,1031.94795417727
"graphMoDE-C","guidance_3","failed",1.02006228392608,1.002901182976,272.595273567734,835.783868715084
"graphMoDE-C","guidance_4","failed",1.02296432289401,1.00719467715229,229.811814059768,1029.3503016045
"graphMoDE-C","guidance_5","failed",1.03154449717802,1.00708852356626,149.593245846473,873.066190336906
"graphMoDE-C","guidance_6","failed",1.03360506153953,1.01199377210052,121.721859908849,278.171379612664
"graphMoDE-C","guidance_7","failed",1.02603727092212,1.00714893263191,214.939351660879,789.307104551446
"graphMoDE-C","guidance_8","failed",1.0212990225161,1.00240997289758,257.722156020133,805.644202462252
"graphMoDE-C","guidance_9","failed",1.01389134396051,1.00325541880105,331.970768523905,700.921625524329
"graphMoDE-C","guidance_10","passed",1.00162307086987,1.00782984848814,509.061194926706,625.463085996033
"graphMoDE-C","unit_log_mean_1_t1","failed",1.3122496448797,1.29641042359177,10.1701134887999,31.8055949500927
"graphMoDE-C","unit_log_mean_31_t1","failed",1.0144476887247,1.00939324229508,470.20884939971,453.427500438134
"graphMoDE-C","unit_log_mean_61_t1","failed",1.05522338086607,1.0625974844407,55.2685948791435,11.602552111552
"graphMoDE-C","unit_log_mean_91_t1","failed",1.04693789518886,1.05915061243637,63.5370159505725,11.3920244581186
"graphMoDE-C","unit_log_mean_121_t1","failed",1.36878079050771,1.31998493568924,9.073417623391,33.9332180061755
"graphMoDE-C","unit_log_mean_1_t84","failed",1.33044854303549,1.29038319185801,9.81611031262446,38.6413314803571
"graphMoDE-C","unit_log_mean_31_t84","passed",1.00351480929398,1.00131212031837,499.314270654818,591.529035402913
"graphMoDE-C","unit_log_mean_61_t84","failed",1.05304733015785,1.06838428503991,59.6047598655634,12.5859039300848
"graphMoDE-C","unit_log_mean_91_t84","failed",1.06838240072678,1.06156579864474,47.5529768196876,11.5303103570905
"graphMoDE-C","unit_log_mean_121_t84","failed",1.35644693914661,1.2940523240776,9.32301181152748,29.0297079444253
"graphMoDE-C","unit_log_mean_1_t168","failed",1.31354269173959,1.24441710463568,10.2981586802774,23.0847609280595
